molecule_chembl_id,smiles,activity_type,activity_value,activity_units,pchembl_value,target_chembl_id,document_chembl_id,canonical_smiles
CHEMBL50470,CCN(CC)CCCNc1ncc2cc(-c3c(Cl)cccc3Cl)c(=O)n(C)c2n1,IC50,1400.0,nM,5.85,CHEMBL203,CHEMBL1131066,CCN(CC)CCCNc1ncc2cc(-c3c(Cl)cccc3Cl)c(=O)n(C)c2n1
CHEMBL104244,CN1CCN(CCCCNc2ncc3cc(-c4c(Cl)cccc4Cl)c(=O)n(C)c3n2)CC1,IC50,210.0,nM,6.68,CHEMBL203,CHEMBL1131066,CN1CCN(CCCCNc2ncc3cc(-c4c(Cl)cccc4Cl)c(=O)n(C)c3n2)CC1
CHEMBL53777,CN(C)c1ncc2ncnc(Nc3cccc(Br)c3)c2n1,IC50,0.95,nM,9.02,CHEMBL203,CHEMBL1130057,CN(C)c1ncc2ncnc(Nc3cccc(Br)c3)c2n1
CHEMBL293889,Cn1c(SSc2c(C(=O)Nc3ccccc3)c3cc(Cl)ccc3n2C)c(C(=O)Nc2ccccc2)c2cc(Cl)ccc21,IC50,4300.0,nM,5.37,CHEMBL203,CHEMBL1127560,Cn1c(SSc2c(C(=O)Nc3ccccc3)c3cc(Cl)ccc3n2C)c(C(=O)Nc2ccccc2)c2cc(Cl)ccc21
CHEMBL140561,CN(C)CCCOC(=O)/C=C/C(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,IC50,2.4,nM,8.62,CHEMBL203,CHEMBL1134843,CN(C)CCCOC(=O)/C=C/C(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1
CHEMBL345077,C=C[S+]([O-])c1cc2c(Nc3cccc(Br)c3)ncnc2cn1,IC50,4.6,nM,8.34,CHEMBL203,CHEMBL1134843,C=C[S+]([O-])c1cc2c(Nc3cccc(Br)c3)ncnc2cn1
CHEMBL107472,CNc1ncc2cc(-c3c(Cl)cccc3Cl)c(=O)n(C)c2n1,IC50,7500.0,nM,5.12,CHEMBL203,CHEMBL1131066,CNc1ncc2cc(-c3c(Cl)cccc3Cl)c(=O)n(C)c2n1
CHEMBL139044,C=C/C=C/C(=O)Nc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,IC50,1.1,nM,8.96,CHEMBL203,CHEMBL1134843,C=C/C=C/C(=O)Nc1cc2c(Nc3cccc(Br)c3)ncnc2cn1
CHEMBL139095,C=CS(=O)(=O)Nc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,IC50,0.76,nM,9.12,CHEMBL203,CHEMBL1134843,C=CS(=O)(=O)Nc1cc2c(Nc3cccc(Br)c3)ncnc2cn1
CHEMBL113070,Cn1c(=O)c(-c2c(Cl)cccc2Cl)cc2cnc(Nc3ccc(CCCC(=O)O)cc3)nc21,IC50,80.0,nM,7.1,CHEMBL203,CHEMBL1131066,Cn1c(=O)c(-c2c(Cl)cccc2Cl)cc2cnc(Nc3ccc(CCCC(=O)O)cc3)nc21
CHEMBL104779,Cn1c(=O)c(-c2c(Cl)cccc2Cl)cc2cnc(Nc3ccncc3)nc21,IC50,910.0,nM,6.04,CHEMBL203,CHEMBL1131066,Cn1c(=O)c(-c2c(Cl)cccc2Cl)cc2cnc(Nc3ccncc3)nc21
CHEMBL319620,O=C(O)c1cc(NCc2cc(O)ccc2O)ccc1O,IC50,92000.0,nM,4.04,CHEMBL203,CHEMBL1127084,O=C(O)c1cc(NCc2cc(O)ccc2O)ccc1O
CHEMBL134371,O=C(O)/C=C/C(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,IC50,0.37,nM,9.43,CHEMBL203,CHEMBL1134843,O=C(O)/C=C/C(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1
CHEMBL301612,Cn1c(=O)c(-c2c(Cl)cccc2Cl)cc2cnc(Nc3ccccc3)nc21,IC50,260.0,nM,6.58,CHEMBL203,CHEMBL1131066,Cn1c(=O)c(-c2c(Cl)cccc2Cl)cc2cnc(Nc3ccccc3)nc21
CHEMBL50344,CNc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,IC50,11.0,nM,7.96,CHEMBL203,CHEMBL1130057,CNc1ccc2ncnc(Nc3cccc(Br)c3)c2c1
CHEMBL293251,Cn1c(SSc2c(C(=O)Nc3ccccc3)c3cc(Br)ccc3n2C)c(C(=O)Nc2ccccc2)c2cc(Br)ccc21,IC50,11400.0,nM,4.94,CHEMBL203,CHEMBL1127560,Cn1c(SSc2c(C(=O)Nc3ccccc3)c3cc(Br)ccc3n2C)c(C(=O)Nc2ccccc2)c2cc(Br)ccc21
CHEMBL60472,COc1ccc2c(C(=O)Nc3ccccc3)c(SSc3c(C(=O)Nc4ccccc4)c4ccc(OC)cc4n3C)n(C)c2c1,IC50,3600.0,nM,5.44,CHEMBL203,CHEMBL1127560,COc1ccc2c(C(=O)Nc3ccccc3)c(SSc3c(C(=O)Nc4ccccc4)c4ccc(OC)cc4n3C)n(C)c2c1
CHEMBL342828,O=C(/C=C/C(=O)Nc1cc2c(Nc3cccc(Br)c3)ncnc2cn1)NCCCn1ccnc1,IC50,0.56,nM,9.25,CHEMBL203,CHEMBL1134843,O=C(/C=C/C(=O)Nc1cc2c(Nc3cccc(Br)c3)ncnc2cn1)NCCCn1ccnc1
CHEMBL299194,CN1CCN(CCCNc2ncc3cc(-c4c(Cl)cccc4Cl)c(=O)n(C)c3n2)CC1,IC50,8700.0,nM,5.06,CHEMBL203,CHEMBL1131066,CN1CCN(CCCNc2ncc3cc(-c4c(Cl)cccc4Cl)c(=O)n(C)c3n2)CC1
CHEMBL54067,CN(C)CCNc1ncc2ncnc(Nc3cccc(Br)c3)c2n1,IC50,35.0,nM,7.46,CHEMBL203,CHEMBL1130057,CN(C)CCNc1ncc2ncnc(Nc3cccc(Br)c3)c2n1
CHEMBL291359,CC(=O)Oc1cccc2c(C(=O)Nc3ccccc3)c(SSc3c(C(=O)Nc4ccccc4)c4cccc(OC(C)=O)c4n3C)n(C)c12,IC50,9900.0,nM,5.0,CHEMBL203,CHEMBL1127560,CC(=O)Oc1cccc2c(C(=O)Nc3ccccc3)c(SSc3c(C(=O)Nc4ccccc4)c4cccc(OC(C)=O)c4n3C)n(C)c12
CHEMBL109296,CCNc1ncc2cc(-c3c(Cl)cccc3Cl)c(=O)n(C)c2n1,IC50,4500.0,nM,5.35,CHEMBL203,CHEMBL1131066,CCNc1ncc2cc(-c3c(Cl)cccc3Cl)c(=O)n(C)c2n1
