candidate_id,smiles,parent_ids,generation_method,validity_status,qed,esol,pains_alert_count,pains_flag,molecular_weight,logp,h_bond_donors,h_bond_acceptors,rotatable_bonds
GEN_A8165138,CN1CCN(c2ncnc3c2C(=Cc2cc(C(=O)O)cc(O)c2O)C(=O)N3)CC1,CHEMBL296407;CHEMBL302552;CHEMBL304271;CHEMBL305194;CHEMBL308645;CHEMBL309625;CHEMBL310798;CHEMBL311119;CHEMBL432903;CHEMBL443268;CHEMBL65848;CHEMBL66570;CHEMBL67003;CHEMBL67057;CHEMBL68920;CHEMBL69629;CHEMBL69960;CHEMBL69964;CHEMBL76589;CHEMBL76642;CHEMBL76904;CHEMBL76905;CHEMBL76985;CHEMBL77085;CHEMBL80155,BRICS,True,0.438,-2.935,1,True,397.39,0.83,4,8,3
GEN_5FA5AC15,O=C(O)c1cc(O)c(O)c(C(O)=Cc2cc(O)cc(O)c2)c1,CHEMBL296407;CHEMBL302552;CHEMBL304271;CHEMBL305194;CHEMBL308645;CHEMBL309598;CHEMBL309625;CHEMBL310798;CHEMBL311119;CHEMBL432903;CHEMBL443268;CHEMBL65848;CHEMBL66570;CHEMBL67003;CHEMBL67057;CHEMBL68920;CHEMBL69629;CHEMBL69960;CHEMBL69964;CHEMBL76589;CHEMBL76642;CHEMBL76904;CHEMBL76905;CHEMBL76985;CHEMBL77085;CHEMBL80155,BRICS,True,0.29,-3.358,1,True,304.25,2.263,6,6,3
GEN_E12FF213,Cc1[nH]c(N2CCN(c3cc(C(=O)O)cc(O)c3O)CC2)c(C)c1-c1ccccn1,CHEMBL137635;CHEMBL138125;CHEMBL305194;CHEMBL432903;CHEMBL66570;CHEMBL80155,BRICS,True,0.491,-4.499,1,True,408.46,3.13,4,6,4
GEN_640DF71F,Cc1cc(C(=O)O)[nH]c1N1CCN(c2cc(C(=O)O)cc(O)c2O)CC1,CHEMBL304271;CHEMBL305194;CHEMBL308645;CHEMBL443268;CHEMBL65848;CHEMBL66570;CHEMBL67003;CHEMBL67057;CHEMBL69629;CHEMBL69960;CHEMBL69964;CHEMBL80155,BRICS,True,0.516,-3.048,1,True,361.35,1.457,5,6,4
GEN_4896AB30,Cc1cccc(-c2cc(Cc3cc(C(=O)O)cc(O)c3O)cc(O)c2O)c1,CHEMBL305194;CHEMBL336113;CHEMBL67003;CHEMBL67057;CHEMBL80155,BRICS,True,0.449,-4.718,1,True,366.37,3.773,5,5,4
GEN_0479884A,O=C1Nc2ncnc(N3CCOCC3)c2C1=C(O)c1cc(C(=O)O)cc(O)c1O,CHEMBL137364;CHEMBL302552;CHEMBL304271;CHEMBL305194;CHEMBL308645;CHEMBL309598;CHEMBL432903;CHEMBL443268;CHEMBL65848;CHEMBL66570;CHEMBL67003;CHEMBL67057;CHEMBL68920;CHEMBL69629;CHEMBL69960;CHEMBL69964;CHEMBL80155,BRICS,True,0.283,-2.935,1,True,400.35,0.801,5,9,3
GEN_9E76C211,Cc1cc(C)c(-c2ncnc3c2C(=Cc2cc(C(=O)O)cc(O)c2O)C(=O)N3C)[nH]1,CHEMBL296407;CHEMBL302552;CHEMBL304271;CHEMBL305194;CHEMBL308645;CHEMBL309625;CHEMBL310798;CHEMBL311119;CHEMBL432903;CHEMBL443268;CHEMBL65848;CHEMBL66570;CHEMBL67003;CHEMBL67057;CHEMBL68920;CHEMBL69629;CHEMBL69960;CHEMBL69964;CHEMBL76589;CHEMBL76642;CHEMBL76904;CHEMBL76905;CHEMBL76985;CHEMBL77085;CHEMBL80155,BRICS,True,0.387,-4.291,1,True,406.4,2.715,4,6,3
GEN_ABD88AD7,Cc1cccc(N(CC/N=N/Nc2ccc3ncnc(C(=O)O)c3c2)c2ccc(C=O)cc2)c1,CHEMBL137364;CHEMBL304271;CHEMBL305194;CHEMBL311119;CHEMBL336113;CHEMBL432903;CHEMBL76985,BRICS,True,0.206,-5.734,1,True,454.49,5.066,2,7,9
GEN_35302291,O=C(O)c1cc(O)c(O)c(C(O)=Cc2cc(O)ccc2O)c1,CHEMBL296407;CHEMBL302552;CHEMBL304271;CHEMBL305194;CHEMBL308645;CHEMBL309598;CHEMBL309625;CHEMBL310798;CHEMBL311119;CHEMBL432903;CHEMBL443268;CHEMBL65848;CHEMBL66570;CHEMBL67003;CHEMBL67057;CHEMBL68920;CHEMBL69629;CHEMBL69960;CHEMBL69964;CHEMBL76589;CHEMBL76642;CHEMBL76904;CHEMBL76905;CHEMBL76985;CHEMBL77085;CHEMBL80155,BRICS,True,0.221,-3.358,1,True,304.25,2.263,6,6,3
GEN_6F4031B5,O=C(O)CCc1ccc2c(cnn2Cc2cc(C(=O)O)cc(O)c2O)c1,CHEMBL305194;CHEMBL308645;CHEMBL67003;CHEMBL67057;CHEMBL80155,BRICS,True,0.498,-3.473,2,True,356.33,2.211,4,5,6
