candidate_id,smiles,parent_ids,generation_method,validity_status,qed,esol,pains_alert_count,pains_flag,molecular_weight,logp,h_bond_donors,h_bond_acceptors,rotatable_bonds
GEN_C1FE4ECD,CN(C)/N=N/c1ccc2ncnc(N(CC/N=N/Nc3ccc4ncnc(-c5cccc(Cl)c5)c4c3)c3ccccn3)c2c1,CHEMBL133024;CHEMBL136491;CHEMBL137364;CHEMBL137635;CHEMBL138125;CHEMBL304271;CHEMBL344652,BRICS,VALID,0.126,-8.161,1,True,603.09,7.466,1,10,10
GEN_2C3123D4,CCN(CC/N=N/Nc1ccc2ncnc(-c3cccc(Cl)c3)c2c1)c1ncnc2ccc(/N=N/N(C)C)cc12,CHEMBL133024;CHEMBL136491;CHEMBL137364;CHEMBL304271;CHEMBL344652,BRICS,VALID,0.15,-7.355,1,True,554.06,6.759,1,9,10
GEN_F4F0C72E,Cc1cc(C)c(N(CC/N=N/Nc2ccc3ncnc(-c4cccc(Cl)c4)c3c2)c2ccc(O)cc2)[nH]1,CHEMBL133024;CHEMBL136491;CHEMBL137364;CHEMBL304271;CHEMBL68920;CHEMBL76589,BRICS,VALID,0.151,-7.574,1,True,512.02,7.218,3,6,8
GEN_5BF1ACD0,Cc1cc(C)c(N(CC/N=N/Nc2ccc3ncnc(-c4cccc(Cl)c4)c3c2)c2ccc(O)c([N+](=O)[O-])c2)[nH]1,CHEMBL133024;CHEMBL136491;CHEMBL137364;CHEMBL304271;CHEMBL309625;CHEMBL68920,BRICS,VALID,0.099,-7.689,1,True,557.01,7.126,3,8,9
GEN_09DB339C,Cc1cc(C)c(N(CC/N=N/Nc2ccc3ncnc(-c4cccc(Cl)c4)c3c2)c2ccc(F)c(Cl)c2)[nH]1,CHEMBL133024;CHEMBL136491;CHEMBL137364;CHEMBL302552;CHEMBL304271;CHEMBL443268;CHEMBL68920;CHEMBL69960,BRICS,VALID,0.151,-8.47,1,True,548.45,8.305,2,5,8
GEN_3F47252A,Cc1cc(C)c(N(CC/N=N/Nc2ccc3ncnc(-c4cccc(Cl)c4)c3c2)c2cc(O)ccc2[N+](=O)[O-])[nH]1,CHEMBL133024;CHEMBL136491;CHEMBL137364;CHEMBL304271;CHEMBL68920;CHEMBL77085,BRICS,VALID,0.099,-7.689,1,True,557.01,7.126,3,8,9
GEN_F1D9AEBA,C/N=N/Nc1ccc2ncnc(N(CC/N=N/Nc3ccc4ncnc(-c5cccc(Cl)c5)c4c3)c3[nH]c(C)cc3C)c2c1,CHEMBL133024;CHEMBL135592;CHEMBL136491;CHEMBL137364;CHEMBL304271;CHEMBL68920,BRICS,VALID,0.107,-8.408,1,True,605.11,7.865,3,9,10
GEN_52E5EDEB,Cc1cc(C)c(N(CC/N=N/Nc2ccc3ncnc(-c4cccc(Cl)c4)c3c2)c2ccccn2)[nH]1,CHEMBL133024;CHEMBL136491;CHEMBL137364;CHEMBL137635;CHEMBL138125;CHEMBL304271;CHEMBL68920,BRICS,VALID,0.18,-7.3,1,True,497.01,6.908,2,6,8
GEN_CA3B8A9F,CCN(CC/N=N/Nc1ccc2ncnc(-c3cccc(Cl)c3)c2c1)c1[nH]c(C)cc1C,CHEMBL133024;CHEMBL136491;CHEMBL137364;CHEMBL304271;CHEMBL68920,BRICS,VALID,0.249,-6.482,1,True,447.97,6.201,2,5,8
GEN_35D4F42D,Oc1ccc(N(CC/N=N/Nc2ccc3ncnc(-c4cccc(Cl)c4)c3c2)c2ccc(F)c(Cl)c2)cc1,CHEMBL133024;CHEMBL136491;CHEMBL137364;CHEMBL302552;CHEMBL304271;CHEMBL443268;CHEMBL68920;CHEMBL69960;CHEMBL76589,BRICS,VALID,0.152,-8.333,1,True,547.42,8.066,2,6,8
GEN_F994155B,O=[N+]([O-])c1cc(N(CC/N=N/Nc2ccc3ncnc(-c4cccc(Cl)c4)c3c2)c2ccc(F)c(Cl)c2)ccc1O,CHEMBL133024;CHEMBL136491;CHEMBL137364;CHEMBL302552;CHEMBL304271;CHEMBL309625;CHEMBL443268;CHEMBL68920;CHEMBL69960,BRICS,VALID,0.101,-8.448,1,True,592.42,7.974,2,8,9
GEN_A3A9FAB5,O=[N+]([O-])c1ccc(O)cc1N(CC/N=N/Nc1ccc2ncnc(-c3cccc(Cl)c3)c2c1)c1ccc(F)c(Cl)c1,CHEMBL133024;CHEMBL136491;CHEMBL137364;CHEMBL302552;CHEMBL304271;CHEMBL443268;CHEMBL68920;CHEMBL69960;CHEMBL77085,BRICS,VALID,0.101,-8.448,1,True,592.42,7.974,2,8,9
GEN_C847B289,Cc1cccc(N(CC/N=N/Nc2ccc3ncnc(-c4cccc(Cl)c4)c3c2)c2ccc(F)c(Cl)c2)c1,CHEMBL133024;CHEMBL136491;CHEMBL137364;CHEMBL302552;CHEMBL304271;CHEMBL336113;CHEMBL443268;CHEMBL68920;CHEMBL69960,BRICS,VALID,0.157,-8.7,1,True,545.45,8.669,1,5,8
GEN_0338A973,C/N=N/Nc1ccc2ncnc(N(CC/N=N/Nc3ccc4ncnc(-c5cccc(Cl)c5)c4c3)c3ccc(F)c(Cl)c3)c2c1,CHEMBL133024;CHEMBL135592;CHEMBL136491;CHEMBL137364;CHEMBL302552;CHEMBL304271;CHEMBL443268;CHEMBL68920;CHEMBL69960,BRICS,VALID,0.113,-9.166,1,True,640.51,8.712,2,9,10
GEN_E60B2261,Fc1ccc(N(CC/N=N/Nc2ccc3ncnc(-c4cccc(Cl)c4)c3c2)c2ccccn2)cc1Cl,CHEMBL133024;CHEMBL136491;CHEMBL137364;CHEMBL137635;CHEMBL138125;CHEMBL302552;CHEMBL304271;CHEMBL443268;CHEMBL68920;CHEMBL69960,BRICS,VALID,0.163,-8.059,1,True,532.41,7.755,1,6,8
GEN_DD73D2F8,CCN(CC/N=N/Nc1ccc2ncnc(-c3cccc(Cl)c3)c2c1)c1ccc(F)c(Cl)c1,CHEMBL133024;CHEMBL136491;CHEMBL137364;CHEMBL302552;CHEMBL304271;CHEMBL443268;CHEMBL68920;CHEMBL69960,BRICS,VALID,0.216,-7.243,1,True,483.38,7.048,1,5,8
GEN_9BF883B3,Oc1ccc(N(CC/N=N/Nc2ccc3ncnc(-c4cccc(Cl)c4)c3c2)c2ccccn2)cc1,CHEMBL133024;CHEMBL136491;CHEMBL137364;CHEMBL137635;CHEMBL138125;CHEMBL304271;CHEMBL76589,BRICS,VALID,0.184,-7.164,1,True,495.97,6.668,2,7,8
GEN_C47611F0,O=[N+]([O-])c1cc(N(CC/N=N/Nc2ccc3ncnc(-c4cccc(Cl)c4)c3c2)c2ccccn2)ccc1O,CHEMBL133024;CHEMBL136491;CHEMBL137364;CHEMBL137635;CHEMBL138125;CHEMBL304271;CHEMBL309625,BRICS,VALID,0.121,-7.274,1,True,540.97,6.576,2,9,9
GEN_64D95242,O=[N+]([O-])c1ccc(O)cc1N(CC/N=N/Nc1ccc2ncnc(-c3cccc(Cl)c3)c2c1)c1ccccn1,CHEMBL133024;CHEMBL136491;CHEMBL137364;CHEMBL137635;CHEMBL138125;CHEMBL304271;CHEMBL77085,BRICS,VALID,0.121,-7.274,1,True,540.97,6.576,2,9,9
GEN_6623AA68,Cc1cccc(N(CC/N=N/Nc2ccc3ncnc(-c4cccc(Cl)c4)c3c2)c2ccccn2)c1,CHEMBL133024;CHEMBL136491;CHEMBL137364;CHEMBL137635;CHEMBL138125;CHEMBL304271;CHEMBL336113,BRICS,VALID,0.181,-7.531,1,True,494.0,7.271,1,6,8
GEN_CED62A78,C/N=N/Nc1ccc2ncnc(N(CC/N=N/Nc3ccc4ncnc(-c5cccc(Cl)c5)c4c3)c3ccccn3)c2c1,CHEMBL133024;CHEMBL135592;CHEMBL136491;CHEMBL137364;CHEMBL137635;CHEMBL138125;CHEMBL304271,BRICS,VALID,0.125,-7.991,1,True,589.07,7.315,2,10,10
GEN_A0C80EC7,CCN(CC/N=N/Nc1ccc2ncnc(-c3cccc(Cl)c3)c2c1)c1ccccn1,CHEMBL133024;CHEMBL136491;CHEMBL137364;CHEMBL137635;CHEMBL138125;CHEMBL304271,BRICS,VALID,0.288,-6.075,1,True,431.93,5.651,1,6,8
GEN_4E3F9F71,Cc1cccc(N(CC/N=N/Nc2ccc3ncnc(-c4cccc(Cl)c4)c3c2)c2ccc(O)cc2)c1,CHEMBL133024;CHEMBL136491;CHEMBL137364;CHEMBL304271;CHEMBL336113;CHEMBL76589,BRICS,VALID,0.166,-7.804,1,True,509.01,7.582,2,6,8
GEN_3E5B38EC,Cc1cccc(N(CC/N=N/Nc2ccc3ncnc(-c4cccc(Cl)c4)c3c2)c2ccc(O)c([N+](=O)[O-])c2)c1,CHEMBL133024;CHEMBL136491;CHEMBL137364;CHEMBL304271;CHEMBL309625;CHEMBL336113,BRICS,VALID,0.11,-7.917,1,True,554.01,7.49,2,8,9
GEN_B0262922,Cc1cccc(N(CC/N=N/Nc2ccc3ncnc(-c4cccc(Cl)c4)c3c2)c2cc(O)ccc2[N+](=O)[O-])c1,CHEMBL133024;CHEMBL136491;CHEMBL137364;CHEMBL304271;CHEMBL336113;CHEMBL77085,BRICS,VALID,0.11,-7.917,1,True,554.01,7.49,2,8,9
GEN_C88F1BCD,C/N=N/Nc1ccc2ncnc(N(CC/N=N/Nc3ccc4ncnc(-c5cccc(Cl)c5)c4c3)c3cccc(C)c3)c2c1,CHEMBL133024;CHEMBL135592;CHEMBL136491;CHEMBL137364;CHEMBL304271;CHEMBL336113,BRICS,VALID,0.119,-8.635,1,True,602.11,8.228,2,9,10
GEN_C0714A2B,CCN(CC/N=N/Nc1ccc2ncnc(-c3cccc(Cl)c3)c2c1)c1cccc(C)c1,CHEMBL133024;CHEMBL136491;CHEMBL137364;CHEMBL304271;CHEMBL336113,BRICS,VALID,0.246,-6.715,1,True,444.97,6.564,1,5,8
GEN_B871507F,C/N=N/Nc1ccc2ncnc(N(CC/N=N/Nc3ccc4ncnc(-c5cccc(Cl)c5)c4c3)c3ccc(O)c([N+](=O)[O-])c3)c2c1,CHEMBL133024;CHEMBL135592;CHEMBL136491;CHEMBL137364;CHEMBL304271;CHEMBL309625,BRICS,VALID,0.072,-8.388,1,True,649.08,7.534,3,12,11
GEN_4DC7096D,CCN(CC/N=N/Nc1ccc2ncnc(-c3cccc(Cl)c3)c2c1)c1ccc(O)c([N+](=O)[O-])c1,CHEMBL133024;CHEMBL136491;CHEMBL137364;CHEMBL304271;CHEMBL309625,BRICS,VALID,0.17,-6.459,1,True,491.94,5.87,2,8,9
GEN_473F3BB6,Oc1ccc(N(CC/N=N/Nc2ccc3ncnc(-c4cccc(Cl)c4)c3c2)c2cccc(Cl)c2)cc1O,CHEMBL133024;CHEMBL136491;CHEMBL137364;CHEMBL296407;CHEMBL304271;CHEMBL76904,BRICS,VALID,0.105,-8.047,2,True,545.43,7.632,3,7,8
GEN_FDBA9B36,Clc1cccc(-c2ncnc3ccc(N/N=N/CCN(c4ccccc4)c4cccc(Cl)c4)cc23)c1,CHEMBL133024;CHEMBL135592;CHEMBL136491;CHEMBL137364;CHEMBL137635;CHEMBL304271;CHEMBL344652,BRICS,VALID,0.168,-8.25,1,True,513.43,8.221,1,5,8
GEN_F7BD0610,Nc1ccc2ncnc(N(CC/N=N/Nc3ccc4ncnc(-c5cccc(Cl)c5)c4c3)c3cccc(Cl)c3)c2c1,CHEMBL133024;CHEMBL136491;CHEMBL137364;CHEMBL304271;CHEMBL336113,BRICS,VALID,0.107,-8.369,1,True,580.48,7.746,2,8,8
GEN_B96C7ED8,C/N=N/Nc1ccc2ncnc(N(CC/N=N/Nc3ccc4ncnc(-c5cccc(Cl)c5)c4c3)c3ccc(O)cc3)c2c1,CHEMBL133024;CHEMBL135592;CHEMBL136491;CHEMBL137364;CHEMBL304271;CHEMBL76589,BRICS,VALID,0.107,-8.267,1,True,604.08,7.625,3,10,10
GEN_230ECD40,CCN(CC/N=N/Nc1ccc2ncnc(-c3cccc(Cl)c3)c2c1)c1ccc(O)cc1,CHEMBL133024;CHEMBL136491;CHEMBL137364;CHEMBL304271;CHEMBL76589,BRICS,VALID,0.257,-6.347,1,True,446.94,5.961,2,6,8
GEN_FAFF80B2,C/N=N/Nc1ccc2ncnc(N(CC/N=N/Nc3ccc4ncnc(-c5cccc(Cl)c5)c4c3)c3cc(O)ccc3[N+](=O)[O-])c2c1,CHEMBL133024;CHEMBL135592;CHEMBL136491;CHEMBL137364;CHEMBL304271;CHEMBL77085,BRICS,VALID,0.072,-8.388,1,True,649.08,7.534,3,12,11
GEN_B811F951,C/N=N/Nc1ccc2ncnc(N(CC/N=N/Nc3ccc4ncnc(-c5cccc(Cl)c5)c4c3)c3ncnc4ccc(N)cc34)c2c1,CHEMBL133024;CHEMBL135592;CHEMBL136491;CHEMBL137364;CHEMBL304271;CHEMBL336113,BRICS,VALID,0.076,-8.487,1,True,655.13,7.445,3,12,10
GEN_FFAB600B,CCN(CC/N=N/Nc1ccc2ncnc(-c3cccc(Cl)c3)c2c1)c1ncnc2ccc(N/N=N/C)cc12,CHEMBL133024;CHEMBL135592;CHEMBL136491;CHEMBL137364;CHEMBL304271,BRICS,VALID,0.151,-7.185,1,True,540.04,6.608,2,9,10
